Fecha,Rótulo,Localidad,IDProvincia,Precio Gasolina 95 E5,Precio Gasoleo A
2026-04-14,DISA AGAETE,AGAETE,35,1.469,1.609
2026-04-14,SHELL AGAETE,AGAETE,35,1.489,1.639
2026-04-14,"REPSOL OPER CANARIOS  S,L.",AGUIMES,35,1.429,1.587
2026-04-14,DISA AUTOPISTA KM 21,AGUIMES,35,1.555,1.729
2026-04-14,DISA AGUIMES,AGUIMES,35,1.475,1.649
2026-04-14,BP KM 13 CRUCE ARINAGA,CRUCE DE ARINAGA,35,1.439,1.597
2026-04-14,PLENERGY,CRUCE DE ARINAGA,35,1.379,1.489
2026-04-14,REPSOL,POLIGONO RESIDENCIAL DE ARINAGA,35,1.469,1.639
2026-04-14,OCÉANO,AGUIMES,35,1.439,1.539
2026-04-14,DISA BALOS,AGUIMES,35,1.465,1.639
2026-04-14,CANARY OIL,AGUIMES,35,1.379,1.489
2026-04-14,CEPSA,AGUIMES,35,1.429,1.624
2026-04-14,MOEVE,AGUIMES,35,1.429,1.624
2026-04-14,PLENERGY,AGUIMES,35,1.379,1.489
2026-04-14,REPSOL,AGUIMES,35,1.469,1.629
2026-04-14,PETROPRIX,AGUIMES,35,1.379,1.489
2026-04-14,SHELL ARINAGA,AGUIMES,35,1.555,1.729
2026-04-14,DISA AUT.ARINAGA,AGUIMES,35,1.525,1.699
2026-04-14,REPSOL LA ALDEA,SAN NICOLAS DE TOLENTINO,35,1.475,1.659
2026-04-14,DISA LA ALDEA,SAN NICOLAS DE TOLENTINO,35,1.505,1.689
2026-04-14,PLENERGY,ANTIGUA,35,1.389,1.479
2026-04-14,DISA EL MATORRAL,CASTILLO (EL),35,1.445,1.569
2026-04-14,CEPSA ANTIGUA,ANTIGUA,35,1.439,1.584
2026-04-14,PETROPRIX,CALETA DE FUSTE,35,1.389,1.479
2026-04-14,BP CALETA DE FUSTE,CALETA DE FUSTE,35,1.449,1.589
2026-04-14,DISA ARRECIFE,ARRECIFE,35,1.505,1.665
2026-04-14,REPSOL,ARRECIFE,35,1.469,1.649
2026-04-14,DISA AEROPUERTO,ARRECIFE,35,1.485,1.655
2026-04-14,BP,ARRECIFE,35,1.469,1.629
2026-04-14,DISA,ARRECIFE,35,1.471,1.657
2026-04-14,DISA VALTERRA,ARRECIFE,35,1.505,1.665
2026-04-14,SHELL ARRECIFE II,ARRECIFE,35,1.409,1.549
2026-04-14,MOEVE,ARRECIFE,35,1.469,1.644
2026-04-14,SHELL ARRECIFE I,ARRECIFE,35,1.409,1.549
2026-04-14,PLENERGY,ARRECIFE,35,1.339,1.479
2026-04-14,DISA NUEVA AEROPUERTO,ARRECIFE,35,1.485,1.655
2026-04-14,SHELL FLICK LANZAROTE,ARRECIFE,35,1.505,1.665
2026-04-14,DISA LOS MARMOLES,ARRECIFE,35,1.485,1.645
2026-04-14,DISA CIRCUNVALACION II,ARRECIFE,35,1.485,1.645
2026-04-14,DISA CIRCUNVALACION I,ARRECIFE,35,1.485,1.645
2026-04-14,ES ARTENARA,ARTENARA,35,1.479,1.649
2026-04-14,E.S. SHELL AUTOVÍA  ARUCAS,ARUCAS,35,1.449,1.639
2026-04-14,SHELL NUEVA ARUCAS,ARUCAS,35,1.475,1.649
2026-04-14,DISA ARUCAS,ARUCAS,35,1.475,1.649
2026-04-14,BP LAS VEGAS,ARUCAS,35,1.475,1.649
2026-04-14,MOEVE  LOS PORTALES,ARUCAS,35,1.469,1.649
